
/src/index.js
  2:18  warning  Found non-literal argument in require  security/detect-non-literal-require

/src/lib-js/saml2.js
    3:95   warning  Generic Object Injection Sink               security/detect-object-injection
    3:108  warning  Generic Object Injection Sink               security/detect-object-injection
  110:29   warning  Generic Object Injection Sink               security/detect-object-injection
  122:32   warning  Generic Object Injection Sink               security/detect-object-injection
  268:19   warning  Generic Object Injection Sink               security/detect-object-injection
  286:19   warning  Generic Object Injection Sink               security/detect-object-injection
  289:11   warning  Generic Object Injection Sink               security/detect-object-injection
  290:9    warning  Generic Object Injection Sink               security/detect-object-injection
  295:25   warning  Generic Object Injection Sink               security/detect-object-injection
  298:9    warning  Generic Object Injection Sink               security/detect-object-injection
  320:12   warning  The function setTimeout can be unsafe       scanjs-rules/call_setTimeout
  359:9    warning  The function parseFromString can be unsafe  scanjs-rules/call_parseFromString
  392:23   warning  Generic Object Injection Sink               security/detect-object-injection
  412:21   warning  Generic Object Injection Sink               security/detect-object-injection
  499:17   warning  Generic Object Injection Sink               security/detect-object-injection
  505:5    warning  Generic Object Injection Sink               security/detect-object-injection
  538:13   warning  Generic Object Injection Sink               security/detect-object-injection
  542:13   warning  Generic Object Injection Sink               security/detect-object-injection
  548:9    warning  The function parseFromString can be unsafe  scanjs-rules/call_parseFromString
  565:12   warning  Generic Object Injection Sink               security/detect-object-injection
  574:14   warning  Generic Object Injection Sink               security/detect-object-injection
  582:10   warning  Generic Object Injection Sink               security/detect-object-injection
  615:28   warning  The function parseFromString can be unsafe  scanjs-rules/call_parseFromString
  620:16   warning  Generic Object Injection Sink               security/detect-object-injection
  631:16   warning  Generic Object Injection Sink               security/detect-object-injection
  632:24   warning  The function parseFromString can be unsafe  scanjs-rules/call_parseFromString
  768:14   warning  The function setImmediate can be unsafe     scanjs-rules/call_setImmediate
  771:14   warning  The function setImmediate can be unsafe     scanjs-rules/call_setImmediate
  778:15   warning  Found new Buffer                            security/detect-new-buffer
  782:16   warning  The function setImmediate can be unsafe     scanjs-rules/call_setImmediate
  788:27   warning  The function parseFromString can be unsafe  scanjs-rules/call_parseFromString
  810:33   warning  Generic Object Injection Sink               security/detect-object-injection
  845:22   warning  The function setImmediate can be unsafe     scanjs-rules/call_setImmediate
  848:22   warning  The function setImmediate can be unsafe     scanjs-rules/call_setImmediate
  892:9    warning  Assignment to search can be unsafe          scanjs-rules/assign_to_search

✖ 36 problems (0 errors, 36 warnings)

