
/src/lib/cookie.js
    52:21  warning  Found non-literal argument to RegExp Constructor  security/detect-non-literal-regexp
    65:25  warning  Unsafe Regular Expression                         security/detect-unsafe-regex
   118:17  warning  Generic Object Injection Sink                     security/detect-object-injection
   509:16  warning  Variable Assigned to Object Injection Sink        security/detect-object-injection
   510:9   warning  Generic Object Injection Sink                     security/detect-object-injection
   511:9   warning  Generic Object Injection Sink                     security/detect-object-injection
   511:23  warning  Generic Object Injection Sink                     security/detect-object-injection
   520:11  warning  Generic Object Injection Sink                     security/detect-object-injection
   521:9   warning  Generic Object Injection Sink                     security/detect-object-injection
   523:9   warning  Generic Object Injection Sink                     security/detect-object-injection
   523:19  warning  Generic Object Injection Sink                     security/detect-object-injection
   524:33  warning  Generic Object Injection Sink                     security/detect-object-injection
   527:7   warning  Generic Object Injection Sink                     security/detect-object-injection
   527:17  warning  Generic Object Injection Sink                     security/detect-object-injection
   611:9   warning  Generic Object Injection Sink                     security/detect-object-injection
   611:36  warning  Generic Object Injection Sink                     security/detect-object-injection
   614:7   warning  Generic Object Injection Sink                     security/detect-object-injection
   614:20  warning  Generic Object Injection Sink                     security/detect-object-injection
   661:7   warning  Generic Object Injection Sink                     security/detect-object-injection
   681:16  warning  Variable Assigned to Object Injection Sink        security/detect-object-injection
   682:9   warning  Generic Object Injection Sink                     security/detect-object-injection
   682:24  warning  Generic Object Injection Sink                     security/detect-object-injection
   690:11  warning  Generic Object Injection Sink                     security/detect-object-injection
   691:9   warning  Generic Object Injection Sink                     security/detect-object-injection
   693:9   warning  Generic Object Injection Sink                     security/detect-object-injection
   693:21  warning  Generic Object Injection Sink                     security/detect-object-injection
   694:24  warning  Generic Object Injection Sink                     security/detect-object-injection
   697:11  warning  Generic Object Injection Sink                     security/detect-object-injection
   699:9   warning  Generic Object Injection Sink                     security/detect-object-injection
   699:22  warning  Generic Object Injection Sink                     security/detect-object-injection
   699:48  warning  Generic Object Injection Sink                     security/detect-object-injection
   700:11  warning  Generic Object Injection Sink                     security/detect-object-injection
   700:35  warning  Generic Object Injection Sink                     security/detect-object-injection
   703:11  warning  Generic Object Injection Sink                     security/detect-object-injection
   703:26  warning  Generic Object Injection Sink                     security/detect-object-injection
   704:9   warning  Generic Object Injection Sink                     security/detect-object-injection
   704:21  warning  Generic Object Injection Sink                     security/detect-object-injection
  1311:5   warning  Generic Object Injection Sink                     security/detect-object-injection

/src/lib/memstore.js
   54:8   warning  Generic Object Injection Sink               security/detect-object-injection
   57:8   warning  Generic Object Injection Sink               security/detect-object-injection
   57:8   warning  Generic Object Injection Sink               security/detect-object-injection
   60:18  warning  Generic Object Injection Sink               security/detect-object-injection
   60:18  warning  Generic Object Injection Sink               security/detect-object-injection
   60:18  warning  Generic Object Injection Sink               security/detect-object-injection
   74:25  warning  Variable Assigned to Object Injection Sink  security/detect-object-injection
   76:24  warning  Function Call Object Injection Sink         security/detect-object-injection
   87:28  warning  Variable Assigned to Object Injection Sink  security/detect-object-injection
   90:27  warning  Function Call Object Injection Sink         security/detect-object-injection
  100:23  warning  Variable Assigned to Object Injection Sink  security/detect-object-injection
  129:7   warning  Generic Object Injection Sink               security/detect-object-injection
  129:27  warning  Generic Object Injection Sink               security/detect-object-injection
  129:27  warning  Generic Object Injection Sink               security/detect-object-injection
  129:53  warning  Generic Object Injection Sink               security/detect-object-injection
  129:53  warning  Generic Object Injection Sink               security/detect-object-injection
  129:53  warning  Generic Object Injection Sink               security/detect-object-injection
  130:12  warning  Generic Object Injection Sink               security/detect-object-injection
  130:12  warning  Generic Object Injection Sink               security/detect-object-injection
  130:12  warning  Generic Object Injection Sink               security/detect-object-injection
  136:7   warning  Generic Object Injection Sink               security/detect-object-injection
  138:14  warning  Generic Object Injection Sink               security/detect-object-injection
  138:14  warning  Generic Object Injection Sink               security/detect-object-injection
  140:14  warning  Generic Object Injection Sink               security/detect-object-injection
  152:29  warning  Function Call Object Injection Sink         security/detect-object-injection
  154:30  warning  Function Call Object Injection Sink         security/detect-object-injection
  154:30  warning  Generic Object Injection Sink               security/detect-object-injection
  157:24  warning  Function Call Object Injection Sink         security/detect-object-injection
  157:24  warning  Generic Object Injection Sink               security/detect-object-injection
  157:24  warning  Generic Object Injection Sink               security/detect-object-injection

/src/lib/pubsuffix.js
  53:7   warning  Generic Object Injection Sink               security/detect-object-injection
  63:16  warning  Variable Assigned to Object Injection Sink  security/detect-object-injection
  67:9   warning  Generic Object Injection Sink               security/detect-object-injection
  69:11  warning  Generic Object Injection Sink               security/detect-object-injection
  72:16  warning  Generic Object Injection Sink               security/detect-object-injection

✖ 73 problems (0 errors, 73 warnings)

