
/src/bin/marky-markdown.js
  13:1  warning  Found fs.readFile with non literal argument at index 0  security/detect-non-literal-fs-filename

/src/dist/marky-markdown.js
      1:413  warning  Generic Object Injection Sink                               security/detect-object-injection
      1:423  warning  Generic Object Injection Sink                               security/detect-object-injection
      1:601  warning  Generic Object Injection Sink                               security/detect-object-injection
      1:619  warning  Generic Object Injection Sink                               security/detect-object-injection
      1:660  warning  Variable Assigned to Object Injection Sink                  security/detect-object-injection
      1:660  warning  Generic Object Injection Sink                               security/detect-object-injection
      1:716  warning  Generic Object Injection Sink                               security/detect-object-injection
      1:800  warning  Function Call Object Injection Sink                         security/detect-object-injection
    101:15   warning  Function Call Object Injection Sink                         security/detect-object-injection
    320:9    warning  Generic Object Injection Sink                               security/detect-object-injection
    638:3    warning  Generic Object Injection Sink                               security/detect-object-injection
    682:35   warning  Found non-literal argument to RegExp Constructor            security/detect-non-literal-regexp
    753:25   warning  Generic Object Injection Sink                               security/detect-object-injection
    757:7    warning  Assignment to protocol can be unsafe                        scanjs-rules/assign_to_protocol
    759:7    warning  Assignment to pathname can be unsafe                        scanjs-rules/assign_to_pathname
    760:7    warning  Generic Object Injection Sink                               security/detect-object-injection
    779:17   warning  Variable Assigned to Object Injection Sink                  security/detect-object-injection
    788:7    warning  Generic Object Injection Sink                               security/detect-object-injection
    828:15   warning  Found non-literal argument to RegExp Constructor            security/detect-non-literal-regexp
    838:31   warning  Found non-literal argument to RegExp Constructor            security/detect-non-literal-regexp
    864:15   warning  Generic Object Injection Sink                               security/detect-object-injection
    871:9    warning  Generic Object Injection Sink                               security/detect-object-injection
    880:16   warning  Generic Object Injection Sink                               security/detect-object-injection
    887:9    warning  Generic Object Injection Sink                               security/detect-object-injection
    899:21   warning  Generic Object Injection Sink                               security/detect-object-injection
    903:7    warning  Generic Object Injection Sink                               security/detect-object-injection
    923:25   warning  Generic Object Injection Sink                               security/detect-object-injection
    924:36   warning  Unsafe Regular Expression                                   security/detect-unsafe-regex
    925:7    warning  Assignment to protocol can be unsafe                        scanjs-rules/assign_to_protocol
    927:7    warning  Generic Object Injection Sink                               security/detect-object-injection
   1005:15   warning  Generic Object Injection Sink                               security/detect-object-injection
   1005:41   warning  Generic Object Injection Sink                               security/detect-object-injection
   1006:15   warning  Variable Assigned to Object Injection Sink                  security/detect-object-injection
   1025:42   warning  Found non-literal argument to RegExp Constructor            security/detect-non-literal-regexp
   1071:40   warning  Generic Object Injection Sink                               security/detect-object-injection
   1072:7    warning  Generic Object Injection Sink                               security/detect-object-injection
   1072:42   warning  Generic Object Injection Sink                               security/detect-object-injection
   1092:5    warning  Generic Object Injection Sink                               security/detect-object-injection
   1117:9    warning  Generic Object Injection Sink                               security/detect-object-injection
   1127:9    warning  Generic Object Injection Sink                               security/detect-object-injection
   1135:9    warning  Generic Object Injection Sink                               security/detect-object-injection
   1155:9    warning  Generic Object Injection Sink                               security/detect-object-injection
   1191:31   warning  Found non-literal argument to RegExp Constructor            security/detect-non-literal-regexp
   1200:42   warning  Unsafe Regular Expression                                   security/detect-unsafe-regex
   1217:19   warning  Generic Object Injection Sink                               security/detect-object-injection
   1243:7    warning  Generic Object Injection Sink                               security/detect-object-injection
   1258:25   warning  Generic Object Injection Sink                               security/detect-object-injection
   1260:7    warning  Generic Object Injection Sink                               security/detect-object-injection
   1260:45   warning  Generic Object Injection Sink                               security/detect-object-injection
   1263:60   warning  Generic Object Injection Sink                               security/detect-object-injection
   1264:13   warning  Generic Object Injection Sink                               security/detect-object-injection
   1265:11   warning  Generic Object Injection Sink                               security/detect-object-injection
   1396:7    warning  Generic Object Injection Sink                               security/detect-object-injection
   1396:30   warning  Generic Object Injection Sink                               security/detect-object-injection
   1510:47   warning  Unsafe Regular Expression                                   security/detect-unsafe-regex
   1633:19   warning  Function Call Object Injection Sink                         security/detect-object-injection
   1634:13   warning  Function Call Object Injection Sink                         security/detect-object-injection
   1728:3    warning  Generic Object Injection Sink                               security/detect-object-injection
   1728:15   warning  Generic Object Injection Sink                               security/detect-object-injection
   1793:12   warning  Generic Object Injection Sink                               security/detect-object-injection
