
/src/papaparse.js
    30:2    error    Definition for rule 'func-name' was not found     func-name
   107:13   warning  Generic Object Injection Sink                     security/detect-object-injection
   287:24   warning  Found non-literal argument to RegExp Constructor  security/detect-non-literal-regexp
   398:18   warning  Function Call Object Injection Sink               security/detect-object-injection
   407:46   warning  Generic Object Injection Sink                     security/detect-object-injection
   410:44   warning  Function Call Object Injection Sink               security/detect-object-injection
   410:70   warning  Generic Object Injection Sink                     security/detect-object-injection
   413:48   warning  Generic Object Injection Sink                     security/detect-object-injection
   413:83   warning  Generic Object Injection Sink                     security/detect-object-injection
   413:109  warning  Generic Object Injection Sink                     security/detect-object-injection
   418:35   warning  Generic Object Injection Sink                     security/detect-object-injection
   419:17   warning  Function Call Object Injection Sink               security/detect-object-injection
   419:17   warning  Generic Object Injection Sink                     security/detect-object-injection
   429:52   warning  Generic Object Injection Sink                     security/detect-object-injection
   430:19   warning  Function Call Object Injection Sink               security/detect-object-injection
   430:19   warning  Generic Object Injection Sink                     security/detect-object-injection
   454:38   warning  Generic Object Injection Sink                     security/detect-object-injection
   466:21   warning  Function Call Object Injection Sink               security/detect-object-injection
   653:39   warning  Function Call Object Injection Sink               security/detect-object-injection
  1009:15   warning  Unsafe Regular Expression                         security/detect-unsafe-regex
  1118:5    warning  The function setTimeout can be unsafe             scanjs-rules/call_setTimeout
  1162:24   warning  Function Call Object Injection Sink               security/detect-object-injection
  1193:6    warning  Generic Object Injection Sink                     security/detect-object-injection
  1204:41   warning  Generic Object Injection Sink                     security/detect-object-injection
  1205:5    warning  Generic Object Injection Sink                     security/detect-object-injection
  1207:12   warning  Generic Object Injection Sink                     security/detect-object-injection
  1241:18   warning  Variable Assigned to Object Injection Sink        security/detect-object-injection
  1244:56   warning  Generic Object Injection Sink                     security/detect-object-injection
  1253:7    warning  Generic Object Injection Sink                     security/detect-object-injection
  1253:20   warning  Generic Object Injection Sink                     security/detect-object-injection
  1254:7    warning  Generic Object Injection Sink                     security/detect-object-injection
  1257:7    warning  Generic Object Injection Sink                     security/detect-object-injection
  1295:17   warning  Variable Assigned to Object Injection Sink        security/detect-object-injection
  1307:42   warning  Function Call Object Injection Sink               security/detect-object-injection
  1311:23   warning  Generic Object Injection Sink                     security/detect-object-injection
  1347:13   warning  Found non-literal argument to RegExp Constructor  security/detect-non-literal-regexp
  1362:9    warning  Generic Object Injection Sink                     security/detect-object-injection
  1460:12   warning  Generic Object Injection Sink                     security/detect-object-injection
  1489:25   warning  Found non-literal argument to RegExp Constructor  security/detect-non-literal-regexp
  1496:9    warning  Generic Object Injection Sink                     security/detect-object-injection
  1842:13   warning  Generic Object Injection Sink                     security/detect-object-injection
  1863:16   warning  Variable Assigned to Object Injection Sink        security/detect-object-injection
  1867:10   warning  Generic Object Injection Sink                     security/detect-object-injection
  1909:4    warning  Generic Object Injection Sink                     security/detect-object-injection
  1909:20   warning  Function Call Object Injection Sink               security/detect-object-injection

/src/papaparse.min.js
  7:1981   warning  Found non-literal argument to RegExp Constructor  security/detect-non-literal-regexp
  7:2847   warning  Function Call Object Injection Sink               security/detect-object-injection
  7:2919   warning  Generic Object Injection Sink                     security/detect-object-injection
  7:2956   warning  Function Call Object Injection Sink               security/detect-object-injection
  7:2973   warning  Generic Object Injection Sink                     security/detect-object-injection
  7:3016   warning  Generic Object Injection Sink                     security/detect-object-injection
  7:3041   warning  Generic Object Injection Sink                     security/detect-object-injection
  7:3058   warning  Generic Object Injection Sink                     security/detect-object-injection
  7:3125   warning  Generic Object Injection Sink                     security/detect-object-injection
  7:3139   warning  Function Call Object Injection Sink               security/detect-object-injection
  7:3139   warning  Generic Object Injection Sink                     security/detect-object-injection
  7:3228   warning  Generic Object Injection Sink                     security/detect-object-injection
