
/src/lib/batch.js
   23:32  warning  Unsafe Regular Expression                    security/detect-unsafe-regex
   55:30  warning  Generic Object Injection Sink                security/detect-object-injection
   94:21  warning  Variable Assigned to Object Injection Sink   security/detect-object-injection
  128:13  warning  Generic Object Injection Sink                security/detect-object-injection
  145:13  warning  Generic Object Injection Sink                security/detect-object-injection
  146:46  warning  Generic Object Injection Sink                security/detect-object-injection
  152:21  warning  The function eval can be unsafe              scanjs-rules/call_eval
  152:21  warning  eval with argument of type BinaryExpression  security/detect-eval-with-expression
  152:43  warning  Generic Object Injection Sink                security/detect-object-injection
  178:21  warning  Generic Object Injection Sink                security/detect-object-injection
  185:9   warning  Generic Object Injection Sink                security/detect-object-injection
  186:42  warning  Function Call Object Injection Sink          security/detect-object-injection
  190:17  warning  Generic Object Injection Sink                security/detect-object-injection
  191:50  warning  Function Call Object Injection Sink          security/detect-object-injection
  194:21  warning  Generic Object Injection Sink                security/detect-object-injection
  195:21  warning  Generic Object Injection Sink                security/detect-object-injection
  202:13  warning  Generic Object Injection Sink                security/detect-object-injection
  203:13  warning  Generic Object Injection Sink                security/detect-object-injection
  208:9   warning  Generic Object Injection Sink                security/detect-object-injection

✖ 19 problems (0 errors, 19 warnings)

