
/src/examples/lib/example.js
  2:3  warning  The function eval can be unsafe            scanjs-rules/call_eval
  2:3  warning  eval with argument of type CallExpression  security/detect-eval-with-expression

/src/morris.js
    13:102  warning  Generic Object Injection Sink          security/detect-object-injection
    13:115  warning  Generic Object Injection Sink          security/detect-object-injection
    14:112  warning  Generic Object Injection Sink          security/detect-object-injection
    27:11   warning  Generic Object Injection Sink          security/detect-object-injection
    28:9    warning  Generic Object Injection Sink          security/detect-object-injection
    30:7    warning  Generic Object Injection Sink          security/detect-object-injection
    37:39   warning  Generic Object Injection Sink          security/detect-object-injection
    38:16   warning  Generic Object Injection Sink          security/detect-object-injection
    41:21   warning  Generic Object Injection Sink          security/detect-object-injection
    58:29   warning  Unsafe Regular Expression              security/detect-unsafe-regex
   121:11   warning  The function hide can be unsafe        scanjs-rules/call_hide
   138:30   warning  The function hide can be unsafe        scanjs-rules/call_hide
   159:36   warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
   209:11   warning  The function hide can be unsafe        scanjs-rules/call_hide
   225:17   warning  Generic Object Injection Sink          security/detect-object-injection
   249:22   warning  Generic Object Injection Sink          security/detect-object-injection
   250:22   warning  Generic Object Injection Sink          security/detect-object-injection
   296:19   warning  Generic Object Injection Sink          security/detect-object-injection
   352:20   warning  Function Call Object Injection Sink    security/detect-object-injection
   425:26   warning  Generic Object Injection Sink          security/detect-object-injection
   437:46   warning  Generic Object Injection Sink          security/detect-object-injection
   507:17   warning  Generic Object Injection Sink          security/detect-object-injection
   526:16   warning  Generic Object Injection Sink          security/detect-object-injection
   538:17   warning  Generic Object Injection Sink          security/detect-object-injection
   562:7    warning  The function hide can be unsafe        scanjs-rules/call_hide
   603:20   warning  Unsafe Regular Expression              security/detect-unsafe-regex
   661:7    warning  The function hide can be unsafe        scanjs-rules/call_hide
   667:16   warning  The function hide can be unsafe        scanjs-rules/call_hide
   708:14   warning  The function hide can be unsafe        scanjs-rules/call_hide
   764:15   warning  Generic Object Injection Sink          security/detect-object-injection
   771:17   warning  Generic Object Injection Sink          security/detect-object-injection
   785:17   warning  Generic Object Injection Sink          security/detect-object-injection
   803:13   warning  Generic Object Injection Sink          security/detect-object-injection
   804:25   warning  Generic Object Injection Sink          security/detect-object-injection
   814:40   warning  Generic Object Injection Sink          security/detect-object-injection
   835:9    warning  The function hide can be unsafe        scanjs-rules/call_hide
   842:13   warning  Generic Object Injection Sink          security/detect-object-injection
   846:13   warning  Generic Object Injection Sink          security/detect-object-injection
   847:117  warning  Generic Object Injection Sink          security/detect-object-injection
   861:94   warning  Generic Object Injection Sink          security/detect-object-injection
   867:19   warning  Generic Object Injection Sink          security/detect-object-injection
   868:19   warning  Generic Object Injection Sink          security/detect-object-injection
   871:22   warning  Generic Object Injection Sink          security/detect-object-injection
   938:19   warning  Generic Object Injection Sink          security/detect-object-injection
   947:13   warning  Generic Object Injection Sink          security/detect-object-injection
   968:7    warning  Generic Object Injection Sink          security/detect-object-injection
   972:15   warning  Generic Object Injection Sink          security/detect-object-injection
   974:13   warning  Generic Object Injection Sink          security/detect-object-injection
   975:47   warning  Function Call Object Injection Sink    security/detect-object-injection
   977:23   warning  Generic Object Injection Sink          security/detect-object-injection
   984:14   warning  Generic Object Injection Sink          security/detect-object-injection
  1000:17   warning  Generic Object Injection Sink          security/detect-object-injection
  1004:19   warning  Generic Object Injection Sink          security/detect-object-injection
  1016:29   warning  Generic Object Injection Sink          security/detect-object-injection
  1033:17   warning  Generic Object Injection Sink          security/detect-object-injection
  1061:15   warning  Generic Object Injection Sink          security/detect-object-injection
  1062:13   warning  Generic Object Injection Sink          security/detect-object-injection
  1068:15   warning  Generic Object Injection Sink          security/detect-object-injection
  1068:15   warning  Generic Object Injection Sink          security/detect-object-injection
  1069:13   warning  Generic Object Injection Sink          security/detect-object-injection
  1069:13   warning  Generic Object Injection Sink          security/detect-object-injection
  1142:12   warning  Generic Object Injection Sink          security/detect-object-injection
  1146:16   warning  Generic Object Injection Sink          security/detect-object-injection
  1147:13   warning  Generic Object Injection Sink          security/detect-object-injection
  1307:15   warning  Generic Object Injection Sink          security/detect-object-injection
  1315:17   warning  Generic Object Injection Sink          security/detect-object-injection
  1348:13   warning  Generic Object Injection Sink          security/detect-object-injection
  1358:14   warning  Generic Object Injection Sink          security/detect-object-injection
  1367:45   warning  Function Call Object Injection Sink    security/detect-object-injection
  1428:15   warning  Generic Object Injection Sink          security/detect-object-injection
  1435:17   warning  Generic Object Injection Sink          security/detect-object-injection
  1502:17   warning  Generic Object Injection Sink          security/detect-object-injection
  1509:22   warning  Generic Object Injection Sink          security/detect-object-injection
  1547:14   warning  Generic Object Injection Sink          security/detect-object-injection
  1552:16   warning  Generic Object Injection Sink          security/detect-object-injection
  1553:18   warning  Generic Object Injection Sink          security/detect-object-injection
  1572:40   warning  Generic Object Injection Sink          security/detect-object-injection
  1583:16   warning  The function hide can be unsafe        scanjs-rules/call_hide
  1589:13   warning  Generic Object Injection Sink          security/detect-object-injection
  1593:13   warning  Generic Object Injection Sink          security/detect-object-injection
  1594:117  warning  Generic Object Injection Sink          security/detect-object-injection
  1667:36   warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  1682:17   warning  Generic Object Injection Sink          security/detect-object-injection
  1692:17   warning  Generic Object Injection Sink          security/detect-object-injection
  1694:69   warning  Generic Object Injection Sink          security/detect-object-injection
  1709:17   warning  Generic Object Injection Sink          security/detect-object-injection
  1727:17   warning  Generic Object Injection Sink          security/detect-object-injection
  1736:38   warning  Function Call Object Injection Sink    security/detect-object-injection
  1743:13   warning  Generic Object Injection Sink          security/detect-object-injection
  1746:17   warning  Generic Object Injection Sink          security/detect-object-injection
  1748:13   warning  Generic Object Injection Sink          security/detect-object-injection

/src/morris.min.js
  6:197    warning  Generic Object Injection Sink          security/detect-object-injection
  6:202    warning  Generic Object Injection Sink          security/detect-object-injection
  6:358    warning  Generic Object Injection Sink          security/detect-object-injection
  6:546    warning  Generic Object Injection Sink          security/detect-object-injection
  6:565    warning  Generic Object Injection Sink          security/detect-object-injection
  6:586    warning  Generic Object Injection Sink          security/detect-object-injection
  6:753    warning  Generic Object Injection Sink          security/detect-object-injection
  6:777    warning  Generic Object Injection Sink          security/detect-object-injection
  6:824    warning  Generic Object Injection Sink          security/detect-object-injection
  6:985    warning  Unsafe Regular Expression              security/detect-unsafe-regex
  6:2109   warning  The function hide can be unsafe        scanjs-rules/call_hide
  6:2534   warning  The function hide can be unsafe        scanjs-rules/call_hide
  6:3017   warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  6:3889   warning  The function hide can be unsafe        scanjs-rules/call_hide
  6:4202   warning  Generic Object Injection Sink          security/detect-object-injection
  6:4586   warning  Generic Object Injection Sink          security/detect-object-injection
  6:4593   warning  Generic Object Injection Sink          security/detect-object-injection
  6:5196   warning  Generic Object Injection Sink          security/detect-object-injection
  6:6283   warning  Function Call Object Injection Sink    security/detect-object-injection
