
/src/index.js
  2:18  warning  Found non-literal argument in require  security/detect-non-literal-require

/src/lib-js/saml2.js
    3:95   warning  Generic Object Injection Sink               security/detect-object-injection
    3:108  warning  Generic Object Injection Sink               security/detect-object-injection
  110:29   warning  Generic Object Injection Sink               security/detect-object-injection
  122:32   warning  Generic Object Injection Sink               security/detect-object-injection
  262:9    warning  The function parseFromString can be unsafe  scanjs-rules/call_parseFromString
  295:23   warning  Generic Object Injection Sink               security/detect-object-injection
  317:19   warning  Generic Object Injection Sink               security/detect-object-injection
  335:19   warning  Generic Object Injection Sink               security/detect-object-injection
  338:11   warning  Generic Object Injection Sink               security/detect-object-injection
  339:9    warning  Generic Object Injection Sink               security/detect-object-injection
  344:25   warning  Generic Object Injection Sink               security/detect-object-injection
  347:9    warning  Generic Object Injection Sink               security/detect-object-injection
  369:12   warning  The function setTimeout can be unsafe       scanjs-rules/call_setTimeout
  410:21   warning  Generic Object Injection Sink               security/detect-object-injection
  497:17   warning  Generic Object Injection Sink               security/detect-object-injection
  503:5    warning  Generic Object Injection Sink               security/detect-object-injection
  536:13   warning  Generic Object Injection Sink               security/detect-object-injection
  540:13   warning  Generic Object Injection Sink               security/detect-object-injection
  546:9    warning  The function parseFromString can be unsafe  scanjs-rules/call_parseFromString
  563:12   warning  Generic Object Injection Sink               security/detect-object-injection
  572:14   warning  Generic Object Injection Sink               security/detect-object-injection
  580:10   warning  Generic Object Injection Sink               security/detect-object-injection
  613:28   warning  The function parseFromString can be unsafe  scanjs-rules/call_parseFromString
  618:16   warning  Generic Object Injection Sink               security/detect-object-injection
  629:16   warning  Generic Object Injection Sink               security/detect-object-injection
  630:24   warning  The function parseFromString can be unsafe  scanjs-rules/call_parseFromString
  766:14   warning  The function setImmediate can be unsafe     scanjs-rules/call_setImmediate
  769:14   warning  The function setImmediate can be unsafe     scanjs-rules/call_setImmediate
  776:15   warning  Found new Buffer                            security/detect-new-buffer
  780:16   warning  The function setImmediate can be unsafe     scanjs-rules/call_setImmediate
  786:27   warning  The function parseFromString can be unsafe  scanjs-rules/call_parseFromString
  808:33   warning  Generic Object Injection Sink               security/detect-object-injection
  843:22   warning  The function setImmediate can be unsafe     scanjs-rules/call_setImmediate
  846:22   warning  The function setImmediate can be unsafe     scanjs-rules/call_setImmediate
  890:9    warning  Assignment to search can be unsafe          scanjs-rules/assign_to_search

✖ 36 problems (0 errors, 36 warnings)

