
/src/lib/deap.js
   26:11  warning  Found non-literal argument to RegExp Constructor                                              security/detect-non-literal-regexp
   48:4   warning  Generic Object Injection Sink                                                                 security/detect-object-injection
   48:11  warning  Generic Object Injection Sink                                                                 security/detect-object-injection
   57:14  warning  Function Call Object Injection Sink                                                           security/detect-object-injection
   57:43  warning  Function Call Object Injection Sink                                                           security/detect-object-injection
   58:5   warning  Use of deepExtend() can lead to Denial-of-Service, For-loop pollution, or Property Injection  prototype-pollution-security-rules/detect-deep-extend
   58:16  warning  Function Call Object Injection Sink                                                           security/detect-object-injection
   58:22  warning  Function Call Object Injection Sink                                                           security/detect-object-injection
   60:5   warning  Generic Object Injection Sink                                                                 security/detect-object-injection
   60:22  warning  Function Call Object Injection Sink                                                           security/detect-object-injection
   69:28  warning  Generic Object Injection Sink                                                                 security/detect-object-injection
   69:35  warning  Generic Object Injection Sink                                                                 security/detect-object-injection
   80:10  warning  Generic Object Injection Sink                                                                 security/detect-object-injection
   81:10  warning  Generic Object Injection Sink                                                                 security/detect-object-injection
   90:6   warning  Generic Object Injection Sink                                                                 security/detect-object-injection
  100:29  warning  Generic Object Injection Sink                                                                 security/detect-object-injection
  100:36  warning  Generic Object Injection Sink                                                                 security/detect-object-injection
  110:9   warning  Generic Object Injection Sink                                                                 security/detect-object-injection
  111:9   warning  Generic Object Injection Sink                                                                 security/detect-object-injection
  117:5   warning  Generic Object Injection Sink                                                                 security/detect-object-injection

/src/test/extend.test.js
  100:16  warning  Use of deepExtend() can lead to Denial-of-Service, For-loop pollution, or Property Injection  prototype-pollution-security-rules/detect-deep-extend
  110:16  warning  Use of deepExtend() can lead to Denial-of-Service, For-loop pollution, or Property Injection  prototype-pollution-security-rules/detect-deep-extend
  121:16  warning  Use of deepExtend() can lead to Denial-of-Service, For-loop pollution, or Property Injection  prototype-pollution-security-rules/detect-deep-extend
  132:16  warning  Use of deepExtend() can lead to Denial-of-Service, For-loop pollution, or Property Injection  prototype-pollution-security-rules/detect-deep-extend
  143:16  warning  Use of deepExtend() can lead to Denial-of-Service, For-loop pollution, or Property Injection  prototype-pollution-security-rules/detect-deep-extend

✖ 25 problems (0 errors, 25 warnings)

