
/src/lib/deep-extend.js
   40:11  warning  Found new Buffer                                                                              security/detect-new-buffer
   46:10  warning  Found non-literal argument to RegExp Constructor                                              security/detect-non-literal-regexp
   60:5   warning  Generic Object Injection Sink                                                                 security/detect-object-injection
   62:5   warning  Generic Object Injection Sink                                                                 security/detect-object-injection
   64:5   warning  Generic Object Injection Sink                                                                 security/detect-object-injection
   64:20  warning  Use of deepExtend() can lead to Denial-of-Service, For-loop pollution, or Property Injection  prototype-pollution-security-rules/detect-deep-extend
   67:4   warning  Generic Object Injection Sink                                                                 security/detect-object-injection
  105:10  warning  Generic Object Injection Sink                                                                 security/detect-object-injection
  106:10  warning  Generic Object Injection Sink                                                                 security/detect-object-injection
  117:5   warning  Generic Object Injection Sink                                                                 security/detect-object-injection
  122:5   warning  Generic Object Injection Sink                                                                 security/detect-object-injection
  127:5   warning  Generic Object Injection Sink                                                                 security/detect-object-injection
  132:5   warning  Generic Object Injection Sink                                                                 security/detect-object-injection
  132:19  warning  Use of deepExtend() can lead to Denial-of-Service, For-loop pollution, or Property Injection  prototype-pollution-security-rules/detect-deep-extend
  137:5   warning  Generic Object Injection Sink                                                                 security/detect-object-injection
  137:19  warning  Use of deepExtend() can lead to Denial-of-Service, For-loop pollution, or Property Injection  prototype-pollution-security-rules/detect-deep-extend

✖ 16 problems (0 errors, 16 warnings)

