"Hard-coded credentials","Hard-coding credentials in source code may enable an attacker to gain unauthorized access.","warning","The hard-coded value ""jingo"" is used as [[""key""|""relative:///lib/app.js:151:12:151:18""]].","/lib/app.js","151","12","151","18"
"Type confusion through parameter tampering","Sanitizing an HTTP request parameter may be ineffective if the user controls its type.","error","Potential type confusion for [[""HTTP request parameter""|""relative:///routes/misc.js:31:11:31:24""]].","/routes/misc.js","31","11","31","24"
"Use of password hash with insufficient computational effort","Creating a hash of a password with low computational effort makes the hash vulnerable to password cracking attacks.","warning","Password from [[""an access to password""|""relative:///routes/auth.js:123:96:123:103""]] is hashed insecurely.
Password from [[""an access to password""|""relative:///routes/auth.js:139:46:139:53""]] is hashed insecurely.","/lib/tools.js","36","19","36","21"
"Unsafe jQuery plugin","A jQuery plugin that unintentionally constructs HTML from some of its options may be unsafe to use for clients.","warning","Potential XSS vulnerability in the [[""'$.fn.scrollspy' plugin""|""relative:///public/vendor/bootstrap/js/bootstrap.js:1806:3:1815:3""]].","/public/vendor/bootstrap/js/bootstrap.js","1781","7","1781","19"
"Unsafe jQuery plugin","A jQuery plugin that unintentionally constructs HTML from some of its options may be unsafe to use for clients.","warning","Potential XSS vulnerability in the [[""'$.fn.scrollspy' plugin""|""relative:///public/vendor/bootstrap/js/bootstrap.js:1806:3:1815:3""]].","/public/vendor/bootstrap/js/bootstrap.js","1789","20","1789","27"
"Unsafe jQuery plugin","A jQuery plugin that unintentionally constructs HTML from some of its options may be unsafe to use for clients.","warning","Potential XSS vulnerability in the [[""'$.fn.affix' plugin""|""relative:///public/vendor/bootstrap/js/bootstrap.js:2071:3:2080:3""]].","/public/vendor/bootstrap/js/bootstrap.js","1991","22","1991","40"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///public/vendor/bootstrap/js/bootstrap.js:93:20:93:44""]] is reinterpreted as HTML without escaping meta-characters.","/public/vendor/bootstrap/js/bootstrap.js","100","21","100","28"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///public/vendor/bootstrap/js/bootstrap.js:473:21:473:45""]] is reinterpreted as HTML without escaping meta-characters.","/public/vendor/bootstrap/js/bootstrap.js","473","21","473","114"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///public/vendor/bootstrap/js/bootstrap.js:649:19:649:43""]] is reinterpreted as HTML without escaping meta-characters.","/public/vendor/bootstrap/js/bootstrap.js","652","21","652","26"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///public/vendor/bootstrap/js/bootstrap.js:655:19:655:43""]] is reinterpreted as HTML without escaping meta-characters.","/public/vendor/bootstrap/js/bootstrap.js","656","31","656","36"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///public/vendor/bootstrap/js/bootstrap.js:768:20:768:44""]] is reinterpreted as HTML without escaping meta-characters.","/public/vendor/bootstrap/js/bootstrap.js","775","33","775","40"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///public/vendor/bootstrap/js/bootstrap.js:1085:21:1085:45""]] is reinterpreted as HTML without escaping meta-characters.","/public/vendor/bootstrap/js/bootstrap.js","1085","21","1085","93"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///public/vendor/bootstrap/js/bootstrap.js:1469:13:1469:42""]] is reinterpreted as HTML without escaping meta-characters.","/public/vendor/bootstrap/js/bootstrap.js","1373","70","1373","74"
"Missing rate limiting","An HTTP request handler that performs expensive operations without restricting the rate at which operations can be carried out is vulnerable to denial-of-service attacks.","error","This route handler performs [[""authorization""|""relative:///routes/auth.js:215:8:217:83""]], but is not rate-limited.","/routes/auth.js","28","26","28","37"
"Useless regular-expression character escape","Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.","error","The escape sequence '\.' is equivalent to just '.', so the sequence may still represent a meta-character when it is used in a [[""regular expression""|""relative:///lib/tools.js:25:49:25:68""]].","/test/spec/toolsSpec.js","43","58","43","59"
"Useless regular-expression character escape","Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.","error","The escape sequence '\.' is equivalent to just '.', so the sequence may still represent a meta-character when it is used in a [[""regular expression""|""relative:///lib/tools.js:25:49:25:68""]].","/test/spec/toolsSpec.js","44","55","44","56"
"Missing CSRF middleware","Using cookies without CSRF protection may allow malicious websites to submit requests on behalf of the user.","error","This cookie middleware is serving a request handler [[""here""|""relative:///routes/pages.js:14:23:14:32""]] without CSRF protection.
This cookie middleware is serving a request handler [[""here""|""relative:///routes/pages.js:15:28:15:36""]] without CSRF protection.
This cookie middleware is serving a request handler [[""here""|""relative:///routes/pages.js:16:31:16:42""]] without CSRF protection.","/lib/app.js","148","11","148","24"
"Network data written to file","Writing network data directly to the file system allows arbitrary file upload and might indicate a backdoor.","warning","[[""Untrusted data""|""relative:///routes/pages.js:117:16:117:23""]] flows to file system
[[""Untrusted data""|""relative:///routes/pages.js:118:18:118:25""]] flows to file system
[[""Untrusted data""|""relative:///routes/pages.js:183:18:183:25""]] flows to file system
[[""Untrusted data""|""relative:///routes/pages.js:184:20:184:27""]] flows to file system","/lib/models.js","109","33","109","39"
