
/src/bench.js
  4:11  warning  Found require("child_process")                                   security/detect-child-process
  9:13  warning  Found fs.createWriteStream with non literal argument at index 0  security/detect-non-literal-fs-filename

/src/lib/index.js
   59:12  warning  Generic Object Injection Sink        security/detect-object-injection
   75:30  warning  Generic Object Injection Sink        security/detect-object-injection
   75:45  warning  Generic Object Injection Sink        security/detect-object-injection
   78:9   warning  Generic Object Injection Sink        security/detect-object-injection
  106:53  warning  Generic Object Injection Sink        security/detect-object-injection
  109:15  warning  Generic Object Injection Sink        security/detect-object-injection
  134:53  warning  Generic Object Injection Sink        security/detect-object-injection
  138:9   warning  Generic Object Injection Sink        security/detect-object-injection
  142:18  warning  Generic Object Injection Sink        security/detect-object-injection
  145:40  warning  Function Call Object Injection Sink  security/detect-object-injection
  145:56  warning  Generic Object Injection Sink        security/detect-object-injection
  189:9   warning  Generic Object Injection Sink        security/detect-object-injection
  204:12  warning  Generic Object Injection Sink        security/detect-object-injection
  219:30  warning  Function Call Object Injection Sink  security/detect-object-injection
  219:38  warning  Function Call Object Injection Sink  security/detect-object-injection
  224:35  warning  Function Call Object Injection Sink  security/detect-object-injection
  233:28  warning  Generic Object Injection Sink        security/detect-object-injection
  233:43  warning  Generic Object Injection Sink        security/detect-object-injection
  236:9   warning  Generic Object Injection Sink        security/detect-object-injection
  244:10  warning  Generic Object Injection Sink        security/detect-object-injection
  247:18  warning  Generic Object Injection Sink        security/detect-object-injection
  248:11  warning  Generic Object Injection Sink        security/detect-object-injection
  255:16  warning  Generic Object Injection Sink        security/detect-object-injection
  258:36  warning  Function Call Object Injection Sink  security/detect-object-injection
  260:17  warning  Generic Object Injection Sink        security/detect-object-injection
  260:39  warning  Generic Object Injection Sink        security/detect-object-injection
  261:13  warning  Generic Object Injection Sink        security/detect-object-injection
  261:30  warning  Function Call Object Injection Sink  security/detect-object-injection
  267:16  warning  Generic Object Injection Sink        security/detect-object-injection
  272:17  warning  Generic Object Injection Sink        security/detect-object-injection
  272:39  warning  Generic Object Injection Sink        security/detect-object-injection
  273:13  warning  Generic Object Injection Sink        security/detect-object-injection
  284:7   warning  Generic Object Injection Sink        security/detect-object-injection

/src/test/index.js
   490:18  warning  Generic Object Injection Sink  security/detect-object-injection
   568:20  warning  Generic Object Injection Sink  security/detect-object-injection
   577:44  warning  Generic Object Injection Sink  security/detect-object-injection
  1673:17  warning  Generic Object Injection Sink  security/detect-object-injection
  1677:21  warning  Generic Object Injection Sink  security/detect-object-injection
  1688:17  warning  Generic Object Injection Sink  security/detect-object-injection
  1692:21  warning  Generic Object Injection Sink  security/detect-object-injection
  1704:15  warning  Generic Object Injection Sink  security/detect-object-injection
  1708:19  warning  Generic Object Injection Sink  security/detect-object-injection

✖ 44 problems (0 errors, 44 warnings)

