"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""obj""|""relative:///dist/demos/backbone-requirejs/js/libs/require.js:91:22:91:24""]] to [[""target""|""relative:///dist/demos/backbone-requirejs/js/libs/require.js:114:25:114:30""]] without guarding against prototype pollution.","/dist/demos/backbone-requirejs/js/libs/require.js","114","25","114","30"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""options""|""relative:///dist/demos/examples/backbone-require/js/libs/jquery.js:321:18:321:24""]] to [[""target""|""relative:///dist/demos/examples/backbone-require/js/libs/jquery.js:345:6:345:11""]] without guarding against prototype pollution.","/dist/demos/examples/backbone-require/js/libs/jquery.js","345","6","345","11"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""obj""|""relative:///dist/demos/examples/backbone-require/js/libs/require.js:91:22:91:24""]] to [[""target""|""relative:///dist/demos/examples/backbone-require/js/libs/require.js:114:25:114:30""]] without guarding against prototype pollution.","/dist/demos/examples/backbone-require/js/libs/require.js","114","25","114","30"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""options""|""relative:///dist/demos/js/jquery.js:344:18:344:24""]] to [[""target""|""relative:///dist/demos/js/jquery.js:368:6:368:11""]] without guarding against prototype pollution.","/dist/demos/js/jquery.js","368","6","368","11"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of ""../"".","/dist/demos/_assets/js/index.js","292","28","292","59"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of ""../"".","/dist/demos/_assets/js/jqm-demos.js","122","28","122","59"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/dist/demos/js/jquery.mobile.js","2629","37","2629","48"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/dist/demos/js/jquery.mobile.js","14169","17","14169","28"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/dist/jquery.mobile.js","2629","37","2629","48"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/dist/jquery.mobile.js","14169","17","14169","28"
"Unsafe expansion of self-closing HTML tag","Using regular expressions to expand self-closing HTML tags may lead to cross-site scripting vulnerabilities.","warning","This self-closing HTML tag expansion invalidates prior sanitization as [[""this regular expression""|""relative:///dist/demos/examples/backbone-require/js/libs/jquery.js:5668:14:5668:86""]] may match part of an attribute value.","/dist/demos/examples/backbone-require/js/libs/jquery.js","5886","13","5886","51"
"Unsafe expansion of self-closing HTML tag","Using regular expressions to expand self-closing HTML tags may lead to cross-site scripting vulnerabilities.","warning","This self-closing HTML tag expansion invalidates prior sanitization as [[""this regular expression""|""relative:///dist/demos/examples/backbone-require/js/libs/jquery.js:5668:14:5668:86""]] may match part of an attribute value.","/dist/demos/examples/backbone-require/js/libs/jquery.js","6320","13","6320","48"
"Unsafe expansion of self-closing HTML tag","Using regular expressions to expand self-closing HTML tags may lead to cross-site scripting vulnerabilities.","warning","This self-closing HTML tag expansion invalidates prior sanitization as [[""this regular expression""|""relative:///dist/demos/js/jquery.js:6003:14:6003:86""]] may match part of an attribute value.","/dist/demos/js/jquery.js","6155","13","6155","51"
"Unsafe expansion of self-closing HTML tag","Using regular expressions to expand self-closing HTML tags may lead to cross-site scripting vulnerabilities.","warning","This self-closing HTML tag expansion invalidates prior sanitization as [[""this regular expression""|""relative:///dist/demos/js/jquery.js:6003:14:6003:86""]] may match part of an attribute value.","/dist/demos/js/jquery.js","6569","32","6569","69"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","The replaced string may still contain a substring that starts matching at [[""<script""|""relative:///dist/demos/examples/backbone-require/js/libs/jquery.js:7292:13:7292:19""]].","/dist/demos/examples/backbone-require/js/libs/jquery.js","7482","14","7482","48"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///dist/demos/_assets/js/index.js:310:14:310:48""]] is reinterpreted as HTML without escaping meta-characters.","/dist/demos/_assets/js/index.js","314","13","314","86"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///dist/demos/_assets/js/index.js:621:42:621:70""]] is reinterpreted as HTML without escaping meta-characters.","/dist/demos/_assets/js/index.js","621","42","621","70"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///dist/demos/_assets/js/jqm-demos.js:140:14:140:48""]] is reinterpreted as HTML without escaping meta-characters.","/dist/demos/_assets/js/jqm-demos.js","144","13","144","86"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///dist/demos/_assets/js/view-source.js:139:42:139:70""]] is reinterpreted as HTML without escaping meta-characters.","/dist/demos/_assets/js/view-source.js","139","42","139","70"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///dist/demos/examples/backbone-require/js/libs/jquerymobile.js:8398:51:8398:66""]] is reinterpreted as HTML without escaping meta-characters.","/dist/demos/examples/backbone-require/js/libs/jquerymobile.js","8398","6","8398","79"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///dist/demos/examples/backbone-require/js/libs/jquerymobile.js:8478:11:8478:24""]] is reinterpreted as HTML without escaping meta-characters.","/dist/demos/examples/backbone-require/js/libs/jquerymobile.js","8489","39","8489","113"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///dist/demos/examples/backbone-require/js/libs/jquerymobile.js:8478:11:8478:24""]] is reinterpreted as HTML without escaping meta-characters.","/dist/demos/examples/backbone-require/js/libs/jquerymobile.js","8492","22","8492","79"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///dist/demos/js/jquery.mobile.js:13297:9:13297:57""]] is reinterpreted as HTML without escaping meta-characters.
[[""DOM text""|""relative:///dist/demos/js/jquery.mobile.js:13298:8:13298:20""]] is reinterpreted as HTML without escaping meta-characters.","/dist/demos/js/jquery.mobile.js","13296","8","13299","16"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///dist/demos/js/jquery.mobile.js:13459:12:13459:27""]] is reinterpreted as HTML without escaping meta-characters.","/dist/demos/js/jquery.mobile.js","13483","49","13483","91"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///dist/demos/popup-arrow-size/index.html:110:13:110:35""]] is reinterpreted as HTML without escaping meta-characters.","/dist/demos/popup-arrow-size/index.html","112","12","112","54"
"DOM text reinterpreted as HTML","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","warning","[[""DOM text""|""relative:///dist/jquery.mobile.js:13297:9:13297:57""]] is reinterpreted as HTML without escaping meta-characters.
[[""DOM text""|""relative:///dist/jquery.mobile.js:13298:8:13298:20""]] is reinterpreted as HTML without escaping meta-characters.","/dist/jquery.mobile.js","13296","8","13299","16"
