"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","The property chain [[""here""|""relative:///utils.js:2104:17:2104:22""]] is recursively assigned to [[""model""|""relative:///utils.js:2106:2:2106:6""]] without guarding against prototype pollution.","/utils.js","2106","2","2106","6"
"Disabling certificate validation","Disabling cryptographic certificate validation can cause security vulnerabilities.","error","Disabling certificate validation is strongly discouraged.","/index.js","10476","2","10476","41"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of '*'.","/bundles.js","251","58","251","69"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of '*'.","/index.js","2238","9","2238","19"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of '*'.","/index.js","2482","9","2482","19"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of '*'.","/index.js","3485","9","3485","19"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of '*'.","/index.js","3895","10","3895","40"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of '*'.","/index.js","5541","75","5541","83"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of '*'.","/internal.js","495","32","495","45"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/internal.js","1870","35","1870","56"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","The replaced string may still contain a substring that starts matching at [[""<(\/)?script.*?>""|""relative:///index.js:19397:90:19397:105""]].","/index.js","19397","56","19397","112"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","The replaced string may still contain a substring that starts matching at [[""<(\/)?style.*?>""|""relative:///index.js:19408:82:19408:96""]].","/index.js","19408","48","19408","103"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","The replaced string may still contain a substring that starts matching at [[""<(\/)?script.*?>""|""relative:///index.js:19422:80:19422:95""]].","/index.js","19422","46","19422","102"
"Client-side cross-site scripting","Writing user input directly to the DOM allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to [[""user-provided value""|""relative:///error.html:44:46:44:53""]].","/error.html","44","46","44","58"
"Indirect uncontrolled command line","Forwarding command-line arguments to a child process executed within a shell may indirectly introduce command-line injection vulnerabilities.","warning","This command depends on an unsanitized [[""command-line argument""|""relative:///bin/totaljs:345:13:345:24""]].","/index.js","4519","25","4519","26"
"Missing regular expression anchor","Regular expressions without anchors can be vulnerable to bypassing.","warning","Misleading operator precedence. The subexpression '\.package\/.*?$' is anchored at the end, but the other parts of this regular expression are not","/debug.js","94","25","94","64"
"Missing regular expression anchor","Regular expressions without anchors can be vulnerable to bypassing.","warning","Misleading operator precedence. The subexpression '^http:' is anchored at the beginning, but the other parts of this regular expression are not","/index.js","2011","62","2011","78"
"File data in outbound network request","Directly sending file data in an outbound network request can indicate unauthorized information disclosure.","warning","[[""File data""|""relative:///bin/tpm:897:25:897:49""]] flows directly to outbound network request
[[""File data""|""relative:///bin/tpm:982:29:982:53""]] flows directly to outbound network request
[[""File data""|""relative:///bin/tpm:1027:29:1027:53""]] flows directly to outbound network request","/bin/tpm","500","20","500","26"
