
/src/index.js
   17:20  warning  Found require("child_process")              security/detect-child-process
   35:5   warning  Generic Object Injection Sink               security/detect-object-injection
   37:5   warning  Generic Object Injection Sink               security/detect-object-injection
   50:5   warning  Generic Object Injection Sink               security/detect-object-injection
   51:12  warning  Generic Object Injection Sink               security/detect-object-injection
   53:9   warning  Generic Object Injection Sink               security/detect-object-injection
   56:10  warning  Generic Object Injection Sink               security/detect-object-injection
   58:7   warning  Generic Object Injection Sink               security/detect-object-injection
   87:12  warning  Generic Object Injection Sink               security/detect-object-injection
   91:18  warning  Variable Assigned to Object Injection Sink  security/detect-object-injection
  102:7   warning  Generic Object Injection Sink               security/detect-object-injection
  103:7   warning  Generic Object Injection Sink               security/detect-object-injection
  104:7   warning  Generic Object Injection Sink               security/detect-object-injection

✖ 13 problems (0 errors, 13 warnings)

