
/src/plotter.js
    5:12  warning  Found require("child_process")       security/detect-child-process
   18:20  warning  Function Call Object Injection Sink  security/detect-object-injection
   19:17  warning  Function Call Object Injection Sink  security/detect-object-injection
   25:7   warning  Generic Object Injection Sink        security/detect-object-injection
   38:20  warning  Function Call Object Injection Sink  security/detect-object-injection
   39:17  warning  Function Call Object Injection Sink  security/detect-object-injection
   45:7   warning  Generic Object Injection Sink        security/detect-object-injection
   59:5   warning  Generic Object Injection Sink        security/detect-object-injection
   59:26  warning  Function Call Object Injection Sink  security/detect-object-injection
  192:38  warning  Function Call Object Injection Sink  security/detect-object-injection
  193:22  warning  Generic Object Injection Sink        security/detect-object-injection
  194:14  warning  Generic Object Injection Sink        security/detect-object-injection
  213:30  warning  Generic Object Injection Sink        security/detect-object-injection
  214:39  warning  Generic Object Injection Sink        security/detect-object-injection
  214:52  warning  Generic Object Injection Sink        security/detect-object-injection

✖ 15 problems (0 errors, 15 warnings)

