"Unsafe shell command constructed from library input","Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.","error","[[""String concatenation""|""relative:///dist/gitlog.cjs.development.js:158:3:158:35""]] based on library input is later used in [[""shell command""|""relative:///dist/gitlog.cjs.development.js:216:18:216:61""]].
[[""String concatenation""|""relative:///dist/gitlog.cjs.development.js:158:3:158:35""]] based on library input is later used in [[""shell command""|""relative:///dist/gitlog.cjs.development.js:227:3:237:4""]].
[[""String concatenation""|""relative:///dist/gitlog.cjs.development.js:158:3:158:35""]] based on library input is later used in [[""shell command""|""relative:///dist/gitlog.cjs.development.js:216:18:216:61""]].
[[""String concatenation""|""relative:///dist/gitlog.cjs.development.js:158:3:158:35""]] based on library input is later used in [[""shell command""|""relative:///dist/gitlog.cjs.development.js:227:3:237:4""]].","/dist/gitlog.cjs.development.js","158","3","158","35"
"Unsafe shell command constructed from library input","Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.","error","[[""String concatenation""|""relative:///dist/gitlog.cjs.development.js:190:5:190:36""]] based on library input is later used in [[""shell command""|""relative:///dist/gitlog.cjs.development.js:216:18:216:61""]].
[[""String concatenation""|""relative:///dist/gitlog.cjs.development.js:190:5:190:36""]] based on library input is later used in [[""shell command""|""relative:///dist/gitlog.cjs.development.js:227:3:237:4""]].
[[""String concatenation""|""relative:///dist/gitlog.cjs.development.js:190:5:190:36""]] based on library input is later used in [[""shell command""|""relative:///dist/gitlog.cjs.development.js:216:18:216:61""]].
[[""String concatenation""|""relative:///dist/gitlog.cjs.development.js:190:5:190:36""]] based on library input is later used in [[""shell command""|""relative:///dist/gitlog.cjs.development.js:227:3:237:4""]].","/dist/gitlog.cjs.development.js","190","5","190","36"
"Unsafe shell command constructed from library input","Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.","error","[[""String concatenation""|""relative:///dist/gitlog.cjs.development.js:186:5:186:128""]] based on library input is later used in [[""shell command""|""relative:///dist/gitlog.cjs.development.js:216:18:216:61""]].
[[""String concatenation""|""relative:///dist/gitlog.cjs.development.js:186:5:186:128""]] based on library input is later used in [[""shell command""|""relative:///dist/gitlog.cjs.development.js:227:3:237:4""]].
[[""String concatenation""|""relative:///dist/gitlog.cjs.development.js:186:5:186:128""]] based on library input is later used in [[""shell command""|""relative:///dist/gitlog.cjs.development.js:216:18:216:61""]].
[[""String concatenation""|""relative:///dist/gitlog.cjs.development.js:186:5:186:128""]] based on library input is later used in [[""shell command""|""relative:///dist/gitlog.cjs.development.js:227:3:237:4""]].","/dist/gitlog.cjs.development.js","186","5","186","128"
"Unsafe shell command constructed from library input","Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.","error","[[""String concatenation""|""relative:///dist/gitlog.cjs.development.js:177:5:177:35""]] based on library input is later used in [[""shell command""|""relative:///dist/gitlog.cjs.development.js:216:18:216:61""]].
[[""String concatenation""|""relative:///dist/gitlog.cjs.development.js:177:5:177:35""]] based on library input is later used in [[""shell command""|""relative:///dist/gitlog.cjs.development.js:227:3:237:4""]].
[[""String concatenation""|""relative:///dist/gitlog.cjs.development.js:177:5:177:35""]] based on library input is later used in [[""shell command""|""relative:///dist/gitlog.cjs.development.js:216:18:216:61""]].
[[""String concatenation""|""relative:///dist/gitlog.cjs.development.js:177:5:177:35""]] based on library input is later used in [[""shell command""|""relative:///dist/gitlog.cjs.development.js:227:3:237:4""]].","/dist/gitlog.cjs.development.js","177","5","177","35"
