"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '><'.","/core/built/assets/codemirror/codemirror-993b89ee64b558b2ae87953d44ab3f22.js","1379","111","1379","113"
"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '\\\\'.","/core/built/assets/simplemde/simplemde-1f8ccff0dd405606a22864b214fa253d.js","1632","189","1632","208"
"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '\\\\'.","/core/built/assets/simplemde/simplemde-1f8ccff0dd405606a22864b214fa253d.js","1632","212","1632","231"
"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '\\\\'.","/core/built/assets/simplemde/simplemde-1f8ccff0dd405606a22864b214fa253d.js","1632","236","1632","255"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match user-provided values may be vulnerable to denial-of-service attacks.","warning","This expensive [[""regular expression""|""relative:///core/server/web/site/middleware/handle-image-sizes.js:9:31:9:33""]] use depends on [[""a user-provided value""|""relative:///core/server/web/site/middleware/handle-image-sizes.js:16:35:16:41""]].","/core/server/web/site/middleware/handle-image-sizes.js","16","35","16","41"
"Potentially unsafe external link","External links that open in a new tab or window but do not specify link type 'noopener' or 'noreferrer' are a potential security risk.","warning","External links without noopener/noreferrer are a potential security risk.","/core/server/services/mail/templates/invite-user.html","132","37","132","396"
"Potentially unsafe external link","External links that open in a new tab or window but do not specify link type 'noopener' or 'noreferrer' are a potential security risk.","warning","External links without noopener/noreferrer are a potential security risk.","/core/server/services/mail/templates/newsletter.html","263","129","263","409"
"Potentially unsafe external link","External links that open in a new tab or window but do not specify link type 'noopener' or 'noreferrer' are a potential security risk.","warning","External links without noopener/noreferrer are a potential security risk.","/core/server/services/mail/templates/newsletter.html","465","77","465","355"
"Potentially unsafe external link","External links that open in a new tab or window but do not specify link type 'noopener' or 'noreferrer' are a potential security risk.","warning","External links without noopener/noreferrer are a potential security risk.","/core/server/services/mail/templates/newsletter.html","544","81","544","359"
"Potentially unsafe external link","External links that open in a new tab or window but do not specify link type 'noopener' or 'noreferrer' are a potential security risk.","warning","External links without noopener/noreferrer are a potential security risk.","/core/server/services/mail/templates/newsletter.html","626","89","626","370"
"Potentially unsafe external link","External links that open in a new tab or window but do not specify link type 'noopener' or 'noreferrer' are a potential security risk.","warning","External links without noopener/noreferrer are a potential security risk.","/core/server/services/mail/templates/newsletter.html","775","113","775","393"
"Potentially unsafe external link","External links that open in a new tab or window but do not specify link type 'noopener' or 'noreferrer' are a potential security risk.","warning","External links without noopener/noreferrer are a potential security risk.","/core/server/services/mail/templates/newsletter.html","776","113","776","395"
"Potentially unsafe external link","External links that open in a new tab or window but do not specify link type 'noopener' or 'noreferrer' are a potential security risk.","warning","External links without noopener/noreferrer are a potential security risk.","/core/server/services/mail/templates/newsletter.html","831","73","831","340"
