"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""options""|""relative:///public/build/bundle.js:9842:30:9842:36""]] to [[""target""|""relative:///public/build/bundle.js:9852:25:9852:30""]] without guarding against prototype pollution.","/public/build/bundle.js","9852","25","9852","30"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""obj""|""relative:///public/build/util.js:13537:28:13537:30""]] to [[""dst""|""relative:///public/build/util.js:13552:9:13552:11""]] without guarding against prototype pollution.","/public/build/util.js","13552","9","13552","11"
"Prototype pollution","Recursively merging a user-controlled object into another object can allow an attacker to modify the built-in Object prototype.","error","Prototype pollution caused by merging a user-controlled value from [[""here""|""relative:///routes/getJson.js:10:35:10:42""]] using a vulnerable version of [[""node.extend""|""relative:///package.json:24:20:24:27""]].","/routes/getJson.js","10","35","10","42"
"Prototype pollution","Recursively merging a user-controlled object into another object can allow an attacker to modify the built-in Object prototype.","error","Prototype pollution caused by merging a user-controlled value from [[""here""|""relative:///routes/getJsonByCurl.js:28:84:28:91""]] using a vulnerable version of [[""node.extend""|""relative:///package.json:24:20:24:27""]].","/routes/getJsonByCurl.js","28","84","28","91"
"Disabling certificate validation","Disabling cryptographic certificate validation can cause security vulnerabilities.","error","Disabling certificate validation is strongly discouraged.","/server/getJsonByPostman.js","24","5","24","30"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of />/.","/public/build/util.js","14758","11","14758","41"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of /</.","/public/build/util.js","14758","11","14758","21"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of /%3A/i.","/public/build/util.js","76160","12","76160","23"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of '#'.","/public/build/util.js","76207","12","76207","25"
"Unsafe expansion of self-closing HTML tag","Using regular expressions to expand self-closing HTML tags may lead to cross-site scripting vulnerabilities.","warning","This self-closing HTML tag expansion invalidates prior sanitization as [[""this regular expression""|""relative:///public/build/bundle.js:5126:14:5126:87""]] may match part of an attribute value.","/public/build/bundle.js","5326","10","5326","47"
"Unsafe expansion of self-closing HTML tag","Using regular expressions to expand self-closing HTML tags may lead to cross-site scripting vulnerabilities.","warning","This self-closing HTML tag expansion invalidates prior sanitization as [[""this regular expression""|""relative:///public/build/util.js:15794:24:15794:96""]] may match part of an attribute value.","/public/build/util.js","15842","31","15842","73"
"Client-side cross-site scripting","Writing user input directly to the DOM allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to [[""user-provided value""|""relative:///public/build/util.js:30915:28:30915:42""]].","/public/build/util.js","30969","41","30969","44"
"Client-side cross-site scripting","Writing user input directly to the DOM allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to [[""user-provided value""|""relative:///public/build/util.js:30915:28:30915:42""]].","/public/build/util.js","30973","39","30973","42"
"Shell command built from environment values","Building a shell command string with values from the enclosing environment may cause subtle bugs or vulnerabilities.","warning","This shell command depends on an uncontrolled [[""absolute path""|""relative:///server/gitbook/init.js:36:56:36:80""]].","/server/gitbook/init.js","36","37","36","80"
