
/src/index.js
   11:27  warning  Found non-literal argument to RegExp Constructor  security/detect-non-literal-regexp
   31:12  warning  Generic Object Injection Sink                     security/detect-object-injection
   37:20  warning  Generic Object Injection Sink                     security/detect-object-injection
   42:20  warning  Generic Object Injection Sink                     security/detect-object-injection
   76:25  warning  Variable Assigned to Object Injection Sink        security/detect-object-injection
  187:36  warning  Generic Object Injection Sink                     security/detect-object-injection
  191:20  warning  Generic Object Injection Sink                     security/detect-object-injection
  195:54  warning  Generic Object Injection Sink                     security/detect-object-injection
  199:54  warning  Generic Object Injection Sink                     security/detect-object-injection
  206:18  warning  Variable Assigned to Object Injection Sink        security/detect-object-injection

✖ 10 problems (0 errors, 10 warnings)

