
/src/index.js
   11:27  warning  Found non-literal argument to RegExp Constructor  security/detect-non-literal-regexp
   31:12  warning  Generic Object Injection Sink                     security/detect-object-injection
   37:20  warning  Generic Object Injection Sink                     security/detect-object-injection
   42:20  warning  Generic Object Injection Sink                     security/detect-object-injection
   77:25  warning  Variable Assigned to Object Injection Sink        security/detect-object-injection
  192:36  warning  Generic Object Injection Sink                     security/detect-object-injection
  196:46  warning  Generic Object Injection Sink                     security/detect-object-injection
  196:85  warning  Generic Object Injection Sink                     security/detect-object-injection
  200:54  warning  Generic Object Injection Sink                     security/detect-object-injection
  204:54  warning  Generic Object Injection Sink                     security/detect-object-injection
  212:20  warning  Generic Object Injection Sink                     security/detect-object-injection
  215:18  warning  Variable Assigned to Object Injection Sink        security/detect-object-injection

✖ 12 problems (0 errors, 12 warnings)

