"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '__'.","/admin/public/js/lib/marked/marked.js","457","13","457","27"
"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '**'.","/admin/public/js/lib/marked/marked.js","457","37","457","53"
"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '**'.","/admin/public/js/packages.js","6","19133","6","19149"
"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '\\\n'.","/coverage/lcov-report/prettify.js","1","16663","1","16707"
"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '\\\n'.","/coverage/lcov-report/prettify.js","1","16736","1","16780"
"Prototype pollution in utility function","Recursively assigning properties on objects may cause accidental modification of a built-in prototype object.","warning","Properties are copied from [[""options""|""relative:///admin/public/js/lib/jquery/jquery-1.10.2.js:344:18:344:24""]] to [[""target""|""relative:///admin/public/js/lib/jquery/jquery-1.10.2.js:368:6:368:11""]] without guarding against prototype pollution.","/admin/public/js/lib/jquery/jquery-1.10.2.js","368","6","368","11"
"Use of password hash with insufficient computational effort","Creating a hash of a password with low computational effort makes the hash vulnerable to password cracking attacks.","warning","Password from [[""an access to password""|""relative:///lib/session.js:53:41:53:53""]] is hashed insecurely.
Password from [[""an access to password""|""relative:///lib/session.js:113:60:113:72""]] is hashed insecurely.","/lib/session.js","18","11","18","13"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of '\\'.","/admin/public/js/lib/moment/moment-1.7.2.js","521","31","521","43"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/admin/public/js/lib/select2/select2-3.3.2.js","610","40","610","63"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/admin/public/js/lib/select2/select2-3.4.2.js","673","40","673","63"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of ' '.","/admin/public/js/lib/tinymce/classes/EditorCommands.js","780","18","780","35"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/admin/public/js/lib/tinymce/classes/html/Styles.js","205","20","205","30"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This does not escape backslash characters in the input.","/admin/public/js/lib/tinymce/classes/html/Styles.js","228","23","228","33"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of "">"".","/admin/public/js/packages.js","4","3566","4","3574"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of ""\\"".","/admin/public/js/packages.js","7","23","7","31"
"Incomplete string escaping or encoding","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","warning","This replaces only the first occurrence of ""]"".","/admin/public/js/packages.js","8","2041","8","2049"
