
/src/grunt.js
   3:14  warning  Found require("child_process")                               security/detect-child-process
  34:11  warning  Found fs.writeFileSync with non literal argument at index 0  security/detect-non-literal-fs-filename
  47:14  warning  Found fs.readFileSync with non literal argument at index 0   security/detect-non-literal-fs-filename

/src/lib/node-jquery.js
    13:7   warning  Assignment to location can be unsafe                scanjs-rules/assign_to_location
    91:17  warning  Unsafe Regular Expression                           security/detect-unsafe-regex
   237:44  warning  Generic Object Injection Sink                       security/detect-object-injection
   344:19  warning  Generic Object Injection Sink                       security/detect-object-injection
   347:11  warning  Generic Object Injection Sink                       security/detect-object-injection
   348:12  warning  Generic Object Injection Sink                       security/detect-object-injection
   366:6   warning  Generic Object Injection Sink                       security/detect-object-injection
   370:6   warning  Generic Object Injection Sink                       security/detect-object-injection
   419:11  warning  The function setTimeout can be unsafe               scanjs-rules/call_setTimeout
   520:3   warning  Assignment in IfStatement. Is this accidental?      scanjs-rules/accidental_assignment
   548:13  warning  The Function constructor can be unsafe              scanjs-rules/new_Function
   563:11  warning  The function parseFromString can be unsafe          scanjs-rules/call_parseFromString
   614:27  warning  Function Call Object Injection Sink                 security/detect-object-injection
   630:26  warning  Function Call Object Injection Sink                 security/detect-object-injection
   630:45  warning  Function Call Object Injection Sink                 security/detect-object-injection
   636:26  warning  Function Call Object Injection Sink                 security/detect-object-injection
   694:22  warning  Generic Object Injection Sink                       security/detect-object-injection
   710:20  warning  Generic Object Injection Sink                       security/detect-object-injection
   714:12  warning  Generic Object Injection Sink                       security/detect-object-injection
   734:25  warning  Function Call Object Injection Sink                 security/detect-object-injection
   736:15  warning  Function Call Object Injection Sink                 security/detect-object-injection
   755:23  warning  Function Call Object Injection Sink                 security/detect-object-injection
   765:23  warning  Function Call Object Injection Sink                 security/detect-object-injection
   786:10  warning  Generic Object Injection Sink                       security/detect-object-injection
   820:34  warning  Function Call Object Injection Sink                 security/detect-object-injection
   846:10  warning  Function Call Object Injection Sink                 security/detect-object-injection
   846:44  warning  Function Call Object Injection Sink                 security/detect-object-injection
   846:61  warning  Function Call Object Injection Sink                 security/detect-object-injection
   877:4   warning  The function setTimeout can be unsafe               scanjs-rules/call_setTimeout
   882:4   warning  The function addEventListener can be unsafe         scanjs-rules/call_addEventListener
   885:4   warning  The function addEventListener can be unsafe         scanjs-rules/call_addEventListener
