
/src/index.js
    9:29  warning  Found require("child_process")       security/detect-child-process
   93:26  warning  Generic Object Injection Sink        security/detect-object-injection
  147:3   warning  Generic Object Injection Sink        security/detect-object-injection
  148:3   warning  Generic Object Injection Sink        security/detect-object-injection
  149:3   warning  Generic Object Injection Sink        security/detect-object-injection
  150:3   warning  Generic Object Injection Sink        security/detect-object-injection
  151:3   warning  Generic Object Injection Sink        security/detect-object-injection
  152:3   warning  Generic Object Injection Sink        security/detect-object-injection
  153:3   warning  Generic Object Injection Sink        security/detect-object-injection
  154:3   warning  Generic Object Injection Sink        security/detect-object-injection
  155:3   warning  Generic Object Injection Sink        security/detect-object-injection
  156:3   warning  Generic Object Injection Sink        security/detect-object-injection
  160:16  warning  Generic Object Injection Sink        security/detect-object-injection
  162:3   warning  Generic Object Injection Sink        security/detect-object-injection
  222:24  warning  Function Call Object Injection Sink  security/detect-object-injection
  222:36  warning  Function Call Object Injection Sink  security/detect-object-injection
  227:9   warning  Generic Object Injection Sink        security/detect-object-injection
  227:46  warning  Generic Object Injection Sink        security/detect-object-injection
  232:24  warning  Function Call Object Injection Sink  security/detect-object-injection
  232:35  warning  Function Call Object Injection Sink  security/detect-object-injection
  237:24  warning  Function Call Object Injection Sink  security/detect-object-injection
  237:35  warning  Function Call Object Injection Sink  security/detect-object-injection
  242:24  warning  Function Call Object Injection Sink  security/detect-object-injection
  242:35  warning  Function Call Object Injection Sink  security/detect-object-injection
  247:24  warning  Function Call Object Injection Sink  security/detect-object-injection
  247:35  warning  Function Call Object Injection Sink  security/detect-object-injection
  252:9   warning  Generic Object Injection Sink        security/detect-object-injection
  252:45  warning  Generic Object Injection Sink        security/detect-object-injection
  257:9   warning  Generic Object Injection Sink        security/detect-object-injection
  257:47  warning  Generic Object Injection Sink        security/detect-object-injection
  272:17  warning  Generic Object Injection Sink        security/detect-object-injection
  274:26  warning  Function Call Object Injection Sink  security/detect-object-injection
  280:28  warning  Function Call Object Injection Sink  security/detect-object-injection

✖ 33 problems (0 errors, 33 warnings)

