
/src/lib/printf.js
   14:3   warning  Assignment in WhileStatement. Is this accidental?  scanjs-rules/accidental_assignment
   44:27  warning  Unsafe Regular Expression                          security/detect-unsafe-regex
  138:13  warning  Generic Object Injection Sink                      security/detect-object-injection
  148:25  warning  Generic Object Injection Sink                      security/detect-object-injection
  177:11  warning  Generic Object Injection Sink                      security/detect-object-injection
  223:13  warning  Generic Object Injection Sink                      security/detect-object-injection
  223:25  warning  Generic Object Injection Sink                      security/detect-object-injection
  228:11  warning  Generic Object Injection Sink                      security/detect-object-injection
  228:22  warning  Generic Object Injection Sink                      security/detect-object-injection

✖ 9 problems (0 errors, 9 warnings)

